token,bias,pos
support,0.8874204259929251,VERB
male,0.3610188591599814,ADJ
careful,0.3136221013913605,ADJ
female,0.603967684913832,ADJ
black,0.9065689805122096,ADJ
bread,0.6594421248422486,NOUN
powerful,0.6348178851076225,ADJ
woman,0.9053068336715824,NOUN
dark,0.8910246905960166,ADJ
tall,0.4283060197350022,ADJ
man,0.8301027513416441,NOUN
drink,0.0083717523381405,VERB
water,0.7301795359825335,NOUN
strong,0.8974504371527308,ADJ
kind,0.7119820391542038,ADV
beautiful,0.8591557409607408,ADJ
girl,0.8650285615161792,NOUN
cup,0.7440027940523296,NOUN
majority,0.7983137137445455,NOUN
father,0.8784649598512083,NOUN
live,0.6262855794372582,VERB
extraordinary,0.0159707065300053,ADJ
life,0.9348756142626472,NOUN
victim,0.3200231312759088,NOUN
teacher,0.307625565428763,NOUN
need,0.4455639469031023,VERB
protect,0.7330474622317411,VERB
right,0.9561293174006912,NOUN
health,0.7693116339878359,NOUN
important,0.3559044887166246,ADJ
look,0.6258130456426334,VERB
cat,0.4477695527685931,NOUN
world,0.961704295454216,NOUN
together,0.9353988898606932,ADV
book,0.6846364926137081,NOUN
ask,1.0,VERB
take,0.9477844214854756,VERB
coat,0.815510443440717,NOUN
carefully,0.5184199093646594,ADV
treat,0.5440456845010011,VERB
pilot,0.1775055271217626,NOUN
